name,category,code,unit,brand,vendor,image_url,is_active,created_by,quantity,branch,description
FLUORESCENT ALL COLOURS,NON PVC O/B,2139,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
HI GEL,NON PVC O/B,2140,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CRYSTAL GEL,NON PVC O/B,2141,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
NEW JELLY,NON PVC O/B,2142,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. PINK,W/B,2143,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. ORANGE,W/B,2144,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. MAJENTHA,W/B,2145,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. GREEN,W/B,2146,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. YELLOW,W/B,2147,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. VIOLET,W/B,2148,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. ROYAL BLUE,W/B,2149,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. PEACOCK BLUE,W/B,2150,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FL. RED,W/B,2151,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOIL PAPER,PRINTING ADD ON,2152,MTR,CROWN,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOIL PAPER,PRINTING ADD ON,2153,MTR,ARROW MARK,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOIL PAPER,PRINTING ADD ON,2154,MTR,BUDS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOIL PAPER,PRINTING ADD ON,2155,MTR,CHINA FOIL,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER PAPER 100 GSM,STICKER,2156,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER PAPER 90 GSM,STICKER,2157,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER PAPER 80 GSM,STICKER,2158,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER PAPER 70 GSM,STICKER,2159,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
REFLECTIVE SHEET,STICKER,2160,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
OFFSET PAPER,STICKER,2161,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
HEAT TRANSFER FILM,STICKER,2162,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DTF FILM ROLL,STICKER,2163,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
VINYL,STICKER,2164,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
REFLECTIVE CLEAR SHEET,STICKER,2165,MTR,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLOVES SPL (GREEN),PRINTING ADD ON,2166,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CURING GLOVES,PRINTING ADD ON,2167,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GLOVES (YELLOW 18"")",PRINTING ADD ON,2168,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLOVES GREEN BIG,PRINTING ADD ON,2169,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GLOVES (YELLOW 22"")",PRINTING ADD ON,2170,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
WHITE GLOVES,PRINTING ADD ON,2171,PCS,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PLASTISOL WHITE,PLASTISOL,HS 7667,KG,MICRO-INKS,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
